Timestamp,Humidity,Temperature,Distance,Status
2025-04-14T12:37:26.685Z,48,24,"Out of range",Out of range
2025-04-14T12:37:21.011Z,48,24,"Out of range",Out of range
2025-04-14T12:37:15.357Z,48,24,"Out of range",Out of range
2025-04-14T12:37:09.699Z,48,24,"Out of range",Out of range
2025-04-14T12:37:04.109Z,48,24,"Out of range",Out of range
2025-04-14T12:36:58.414Z,48,24,"Out of range",Out of range
2025-04-14T12:36:52.807Z,48,24,"Out of range",Out of range
2025-04-14T12:36:47.076Z,48,24,"Out of range",Out of range
2025-04-14T12:36:41.435Z,48,24,"Out of range",Out of range
2025-04-14T12:36:35.782Z,48,24,"Out of range",Out of range
2025-04-14T12:36:30.259Z,48,24,"Out of range",Out of range
2025-04-14T12:36:24.484Z,48,24,"Out of range",Out of range
2025-04-14T12:36:18.925Z,48,24,"Out of range",Out of range
2025-04-14T12:36:13.235Z,48,24,"Out of range",Out of range
2025-04-14T12:36:07.499Z,48,24,"Out of range",Out of range
2025-04-14T12:36:01.922Z,48,24,"Out of range",Out of range
2025-04-14T12:35:56.279Z,48,24,"Out of range",Out of range
2025-04-14T12:35:50.635Z,48,24,"Out of range",Out of range
2025-04-14T12:35:44.896Z,48,24,"Out of range",Out of range
2025-04-14T12:35:39.339Z,48,24,"Out of range",Out of range
2025-04-14T12:35:33.586Z,48,24,"Out of range",Out of range
2025-04-14T12:35:28.080Z,48,24,"Out of range",Out of range
2025-04-14T12:35:22.338Z,48,24,"Out of range",Out of range
2025-04-14T12:35:16.708Z,48,24,"Out of range",Out of range
2025-04-14T12:35:11.076Z,48,24,"Out of range",Out of range
2025-04-14T12:35:05.315Z,48,24,"Out of range",Out of range
2025-04-14T12:34:59.654Z,48,24,"Out of range",Out of range
2025-04-14T12:34:54.082Z,48,24,"Out of range",Out of range
2025-04-14T12:34:48.415Z,48,24,"Out of range",Out of range
2025-04-14T12:34:42.714Z,48,24,"Out of range",Out of range
2025-04-14T12:34:37.048Z,48,24,"Out of range",Out of range
2025-04-14T12:34:31.446Z,48,24,"Out of range",Out of range
